module,mean,p95,p99,p999,max
model.6.m.0.cv3,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.6.m.0.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.6.m.0.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.6.m.0.m.1.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.6.m.0.m.1.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.7,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.cv3,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.m.1.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.8.m.0.m.1.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.9.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.10.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.10.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.10.m.0.ffn.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.cv3,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.m.1.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.13.m.0.m.1.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.cv3,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.m.1.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.16.m.0.m.1.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.17,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.cv3,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.m.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.m.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.m.1.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.19.m.0.m.1.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.20,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.22.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.22.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.22.m.0.0.cv1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.22.m.0.0.cv2,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.22.m.0.1.ffn.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.0.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.0.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.1.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.1.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.2.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv2.2.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.0.0.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.0.0.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.0.1.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.0.1.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.1.0.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.1.0.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.1.1.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.1.1.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.2.0.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.2.0.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.2.1.0,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.cv3.2.1.1,2.3445326754118017e+22,2.688640388274977e+25,8.759420928135959e+26,2.4299640370211707e+28,1.092085972568765e+29
model.23.one2one_cv2.0.0,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.0.1,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.1.0,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.1.1,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.2.0,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv2.2.1,1.658575,7.782868,9.783703,11.786879,13.840043
model.23.one2one_cv3.0.0.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.0.0.1,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.0.1.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.0.1.1,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.1.0.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.1.0.1,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.1.1.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.1.1.1,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.2.0.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.2.0.1,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.2.1.0,0.976079,5.115639,6.175783,7.289037,16.086245
model.23.one2one_cv3.2.1.1,0.976079,5.115639,6.175783,7.289037,16.086245
